Sample_ID,Line,Age,Date.of.differentiation,Region,Version,Condition,Glutamatergic_ODS,GABAergic_ODS,Non_neuronal_ODS,Dividing_Progenitor_ODS,Neural_Progenitor_ODS,Intermediate_Progenitor_ODS,Microglia_ODS,Glutamatergic_mean_RPKM,GABAergic_mean_RPKM,Non_neuronal_mean_RPKM,Dividing_Progenitor_mean_RPKM,Neural_Progenitor_mean_RPKM,Intermediate_Progenitor_mean_RPKM,Microglia_mean_RPKM,ER_stress_mean_RPKM,oxidative_stress_mean_RPKM,glycolytic_stress_mean_RPKM
24049FL-01-02-01,8858,30,November 2023,cortical,v14,xg_orb_c5,0.5349162039854276,0.1678591289437068,-2.1464232158734666,0.8527435386664783,0.7465076823546354,-0.3847310920339828,0.7426259212019389,3.026544378470746,2.27358021931082,1.6579155170079705,5.626352647513251,9.242060691751472,5.759546123655193,3.7907117135683692,8.937564271814743,24.69134660930312,23.64233945664254
24049FL-01-03-01,8858,30,November 2023,cortical,v14,xg_orb_c5,0.5100853837048753,0.8222711714791371,-0.7768520456664081,0.900139937420325,0.8183276773478387,0.8682623945031749,0.9007979679500645,3.3469861513556545,2.799753008273627,1.78791606705681,6.004395072333195,10.315745135171605,6.6585108975588145,5.546549566208051,10.443738731848047,29.45469893182047,31.24073879782161
24049FL-01-04-01,8858,30,November 2023,cortical,v14,xg_orb_c4,0.5608730457861401,0.7422952099009102,-0.6598930854806049,0.9308415067838557,0.7604846441922322,0.8592781155690863,0.9885764209005907,3.19542343267747,2.1451830718298424,1.786162539344579,5.000415338332938,8.839339924801797,5.655914472524047,4.0642480732810355,9.202724445077838,26.309871979814243,13.291412137630555
24049FL-01-05-01,8858,30,November 2023,cortical,v14,xg_orb_c4,0.5262272139776519,0.9653280379100847,-0.503777632378603,0.8776549433641365,0.8439710438307482,0.9624438719067917,0.8081065223282143,3.3430465379137253,2.0374021331236816,1.7777047162514803,5.242265090350793,8.76789308585124,6.333039133257508,4.274387554201081,9.194659447434264,29.0528372618509,14.244105558257404
24049FL-01-06-01,8858,30,November 2023,cortical,v14,xg_orb_c4,0.5760629532426145,0.796602058264646,-0.6140135268812463,0.906778067621949,0.7126387236738192,0.7893857510095685,0.945441869785784,3.078587210652003,2.039503002145777,1.6546529830596077,5.074978260934456,8.60794012074928,5.368932668204174,3.4915955071335176,9.308401936202209,25.387485833185224,13.35033968293443
24049FL-01-07-01,C4.1,30,November 2023,cortical,v14,xg_orb_c1,0.5449773936482638,0.6980324903675595,-0.6867616449706795,0.8754541611145221,0.7634232705743879,0.914156120242795,0.9139682057405616,3.409386050684174,1.9376680816285248,1.9803387008053328,5.038224890003502,8.595531787058471,5.4470309030812585,6.156695804310361,11.692414954377165,30.669476966120783,30.628495237115178
24049FL-01-08-01,C4.1,30,November 2023,cortical,v14,xg_orb_c1,0.5667235022975845,0.7295995728423397,-0.7702992483602218,0.9113709079014102,0.7173716734669078,0.7333556950697804,0.9582655309634966,3.3783117515766956,2.0146922089450188,1.4422984125774911,4.723231709857203,9.3792453732149,4.659318061063204,4.309761175423126,9.44607205616338,26.244591132621157,22.395981785917375
24049FL-01-09-01,C4.1,30,November 2023,cortical,v14,xg_orb_c1,0.4193979233192441,0.6846038148160414,-0.5868487580340926,0.8726600721347381,0.70233432141015,0.7660245212757735,0.7843717857864458,3.0448877486916572,2.138535481540404,1.5446202997136032,4.57192303404455,9.810733385386598,4.604613429948817,5.098794615270006,10.807491939566313,25.195543239680667,25.39294064583602
24049FL-01-10-01,C4.1,30,November 2023,cortical,v14,xg_orb_c5,0.6023374556305177,0.7581858433486266,-1.54164852734083,0.925899867749034,0.7969880503106044,0.5149189559399564,0.9232247408334909,3.190033638596808,2.152522822777748,1.5436818293301136,3.8121608593895338,9.309986239959239,4.5436267087006055,4.122908115648681,9.53098331420847,24.370390755021674,22.317369375826924
24049FL-01-11-01,C4.1,30,November 2023,cortical,v14,xg_orb_c5,0.6101175169143346,0.8445691461682737,-1.3096861899395895,0.9192941511518388,0.782173217486269,0.5219452926277456,0.8551656822434929,3.070712917726844,1.671237458559398,1.426472585059707,4.16824182489005,10.215730336249514,4.284114226851158,4.281382309605884,11.22959201702327,24.163786358521495,21.536506971540916
